area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Laajasalo,"3h,k,s, lasitet...",kt,67.00,280000,4179,2009,5/7,ei,hyvä,
Katajanokka,"3h, k, kph, wc",kt,79.60,595000,7475,1908,4/5,on,tyyd.,
Vallila,"3h, k, kph, s, ...",kt,79.50,411000,5170,2014,1/6,on,hyvä,
Etu-töölö,"3 h, k, s",kt,94.50,576300,6098,1932,1/4,on,tyyd.,E2015
Oulunkylä,"3 h, k, p",kt,63.00,265000,4206,1955,4/4,ei,hyvä,F
Oulunkylä,"3h, k, p",kt,68.00,185000,2721,1972,1/3,ei,tyyd.,F2007
Lassila,"3h, k, kph, vh,...",kt,70.50,199900,2835,1980,3/3,ei,tyyd.,
Myllypuro,"3h, k",kt,77.00,192000,2494,1964,2/4,ei,hyvä,D2007
Munkkiniemi,3h+k+kph+parv.,kt,64.90,345000,5316,1950,1/6,on,hyvä,
Kulosaari,3+k+kph+parveke,kt,68.00,307000,4515,1961,3/3,ei,tyyd.,F
Munkkivuori,3h+k+kph+vh+p+e...,kt,73.00,366000,5014,1958,2/3,on,hyvä,
Vallila,"3h, k, s, kph, p",kt,54.50,343000,6294,2011,3/6,on,hyvä,C2007
Oulunkylä,"3 h, k, p",kt,68.00,225000,3309,1972,3/3,ei,hyvä,F2007
Pohjois-haaga,3h+k,kt,71.00,265000,3732,1954,4/6,on,tyyd.,D2007
Roihuvuori,"3h, kk, s",kt,73.50,311900,4244,2017,4/5,on,hyvä,C
Mellunkylä,3h+k,kt,75.00,182000,2427,1991,2/3,ei, ,D
Eiranranta,"3h, avok, kph, ...",kt,117.00,950000,8120,2007,6/7,on,hyvä,F2014
Vuosaari,"3h, k, kph, las...",kt,66.00,195000,2955,1965,2/5,on,hyvä,E2007
Niemenmäki,"3h,k,kph,lasite...",kt,66.50,249000,3744,1962,2/8,ei,tyyd.,
Punavuori,"3h, keittiö...",kt,69.50,416000,5986,1977,6/6,on,tyyd.,F2013
Meri-rastila,"3h, k",kt,74.50,172500,2315,1991,2/3,ei,hyvä,E
Merihaka,"3h,k,lasitettu ...",kt,52.50,256000,4876,1974,12/14,on,tyyd.,F2007
Pohjois-haaga,"3h, k",kt,64.00,302000,4719,1954,3/3,ei,hyvä,G2007
Etu-töölö,"3 h, k, halli, ...",kt,94.00,560000,5957,1927,5/7,on,tyyd.,C2007
Herttoniemenranta,"3h, k, kph, sau...",kt,96.50,565000,5855,2001,4/4,on,hyvä,F2013
"Vanhankaupunginkoski, viikinranta","3h,kt,kph,s,las...",kt,74.50,346300,4648,2007,1/7,ei,hyvä,
Kontula,3-4h+k+kph+wc+l...,kt,76.00,118000,1553,1968,4/8,on,tyyd.,G
Etelä-haaga,"3h, avokeittiö...",kt,60.00,263000,4383,1964,3/3,ei,hyvä,
Oulunkylä,"3h,avok,s,parveke",kt,66.50,325000,4887,2013,4/5,on,hyvä,A2007
Roihuvuori,"3h, kt",kt,67.50,289900,4295,2017,6/6,on,hyvä,C
Kontula,3h+k+kph+wc+2 x...,kt,74.50,130000,1745,1967,1/4,ei,tyyd.,G
Katajanokka,3h+k (yhtiö...,kt,75.00,454900,6065,1906,2/3,ei,hyvä,D2007
Viikki,3h+kt+kph,kt,50.00,220000,4400,2017,2/5,on,hyvä,C
Kontula,"3-4 h, k, kh, w...",kt,76.00,116000,1526,1968,3/8,on,huono,G2007
Kontula,3h+k,kt,59.50,148526,2496,1966,3/8,on,huono,G
Patola,"3 h, k, kh, wc, p",kt,76.50,162000,2118,1972,1/3,ei,hyvä,E2007
Oulunkylä,"3h, k, kph, las...",kt,68.00,269000,3956,1972,3/3,ei,hyvä,
Kamppi,"3h, k",kt,58.00,327500,5647,1932,3/7,on,hyvä,E
Ullanlinna,"3h, k, kph, eri...",kt,111.40,957000,8591,1906,2/3,on,hyvä,F2013
Aurinkolahti,"3h, k, s, lasit...",kt,73.50,330000,4490,2005,4/6,on,hyvä,D
Hakaniemi,"3h, avokeittiö...",kt,64.00,405000,6328,1993,5/6,on,hyvä,
Etelä-haaga,"3 h, k, parveke",kt,67.00,335000,5000,1955,2/3,ei,hyvä,G
Oulunkylä,"3h, k, kph, vh,...",kt,69.00,289000,4188,1963,1/3,ei,tyyd.,F2013
Kallio,3h+avok+kph+vh+...,kt,70.50,410000,5816,1961,2/6,on,hyvä,
Vuosaari,"3h,k,s,terassipiha",kt,72.00,179000,2486,1995,1/6,on,hyvä,F
Pukinmäki,"3h, avok, lasit...",kt,74.50,211500,2839,1976,2/5,on,tyyd.,F
Lassila,"3h, k, kph, s, ...",kt,75.50,220000,2914,1981,2/4,ei,huono,F2013
Etu-töölö,3h+avok.+kph/kh...,kt,79.00,505000,6392,1936,5/6,on,hyvä,
Töölö,"3h, avokeittiö...",kt,79.50,488000,6138,1927,5/6,on,hyvä,E2007
Pohjois-haaga,3h+k,kt,81.00,210000,2593,1972,1/3,ei,tyyd.,D
Etu-töölö,"3 h, avokeittiö...",kt,84.00,571000,6798,1920,3/5,on,hyvä,F2013
Kamppi,"3 h, k, kph, er...",kt,96.00,760000,7917,1938,6/7,on,hyvä,E2007
Kallio,3h+k,kt,62.00,392000,6323,1961,2/6,on,hyvä,G
Mellunmäki,"3h, k",kt,66.00,142000,2152,1970,5/5,on,tyyd.,E2007
Pukinmäki,"3h, k, s, lasit...",kt,74.00,196000,2649,1978,1/3,ei,tyyd.,F2013
Lauttasaari,"3h, k, s, vh, 2...",kt,100.00,575000,5750,1947,3/4,ei,hyvä,
Kruununhaka,"3-4 huonetta, k...",kt,129.00,800000,6202,1911,3/5,on,hyvä,D
Puotinharju,"3h, k, kph, par...",kt,68.00,165000,2426,1962,3/7,on,hyvä,E2007
Lassila,"3h,k,kph,lasite...",kt,68.00,231500,3404,1982,3/3,ei,tyyd.,D2007
"Lauttasaari, vattuniemi",3h+k+lasitettu ...,kt,68.50,285000,4161,1974,6/9,ei,tyyd.,
Itäkeskus,"3h, avok, kph, ...",kt,76.50,219400,2868,1985,1/3,on,hyvä,
Pohjois-haaga,"3h, k, lasitett...",kt,66.00,291200,4412,1956,3/10,on,hyvä,F2007
Roihuvuori,"3 h,k, kph, vh, p",kt,70.00,196000,2800,1965,3/5,on,tyyd.,G
Alppiharju,3h+k+kph+las.pa...,kt,74.00,339000,4581,1970,5/6,on,tyyd.,
Hietalahti,3h+avok.+kph+s+...,kt,74.70,456000,6104,1902,-1/5,ei,hyvä,
Eiranranta,"3h, avok, kph, ...",kt,97.50,949000,9733,2007,4/8,on,hyvä,E2014
Oulunkylä,"3h, k, kph/wc, ...",kt,68.00,219000,3221,1967,2/3,ei,tyyd.,
Malminkartano,3h+k+kph-s+eril...,kt,75.50,210000,2781,1984,2/3,ei,hyvä,
Kruununhaka,"2-3h, k, kph, p...",kt,91.00,685000,7527,1912,4/5,on,hyvä,F2017
Reimarla,"3h, k, sauna, k...",kt,72.50,182000,2510,1980,2/6,on,tyyd.,
Koskela,"3h, k, kph, vh,...",kt,74.10,180500,2436,1973,5/6,on,tyyd.,G
Punavuori,"3h,k",kt,104.00,821600,7900,1904,2/5,ei,tyyd.,
Oulunkylä,"3 h, kt, kh, p",kt,63.50,330000,5197,2015,3/4,on,hyvä,A2007
Konala,3h+k+kph-wc+las...,kt,68.50,166000,2423,1968,3/3,ei,hyvä,
Vuosaari,"3h, k, kph, par...",kt,70.00,195000,2786,1967,2/3,ei,hyvä,
Vuosaari,"3h, k, s, eril....",kt,77.00,205000,2662,1991,2/3,on,hyvä,D
Meilahti,"3h, avok, kph, ...",kt,57.50,336000,5843,1941,2/4,ei,tyyd.,E2007
Tapanila,3h+k+kph+s+WC+2...,kt,82.00,270000,3293,2006,2/4,on,hyvä,D
Mellunmäki,"3h, keittiö...",kt,75.50,165000,2185,1973,2/5,on,hyvä,F2007
Punavuori,"3h, kk, s",kt,76.00,549000,7224,2002,6/8,on,hyvä,C2007
Itä-pasila,"3-4-h,k,parveke",kt,83.50,275600,3301,1974,6/8,on,tyyd.,G
Puotinharju,"3h, k, kh, p",kt,60.00,121000,2017,1966,1/3,ei,tyyd.,G2012
Puotila,"3h, k, kph, p",kt,73.00,175000,2397,1974,2/3,ei,tyyd.,F2007
Yliskylä,3h+k,kt,63.00,189000,3000,1965,2/4,on,huono,F2007
Munkkiniemi,"3-2h,k,kph,lasi...",kt,72.00,468000,6500,1962,3/4,ei,hyvä,
Vuosaari,3h+k+kph+parv,kt,66.00,173000,2621,1965,1/5,ei,tyyd.,E2007
Roihuvuori,"3h, kt",kt,67.50,274900,4073,2017,3/6,on,hyvä,
Aurinkolahti,"3h,kt,s",kt,71.00,397170,5594,2017,7/7,ei,hyvä,C
Kivihaka,"2 mh, oh, k, kp...",kt,65.60,259500,3956,1961,3/4,on,tyyd.,E
Roihuvuori,"3h, kt, s",kt,69.50,281900,4056,2017,3/6,on,hyvä,
Roihuvuori,"3h,kk,rt",kt,72.50,220630,3043,1956,2/4,ei,tyyd.,
Kannelmäki,"3h, avok, kph, ...",kt,74.50,172000,2309,1978,4/4,on,tyyd.,
Viikki,"3h, k, erill.wc...",kt,79.00,285000,3608,2011,2/4,on,hyvä,
Roihuvuori,"3h, kk",kt,69.50,271900,3912,2017,1/5,on,hyvä,
Roihuvuori,"3h, kt, s",kt,69.50,285900,4114,2017,4/6,on,hyvä,
Pohjois-haaga,"3h, k, vh, lasi...",kt,62.00,269000,4339,1957,1/3,ei,tyyd.,G
Roihuvuori,"3h, kt",kt,67.50,284900,4221,2017,5/6,on,hyvä,
Kallio,"3h,avok, kph,vh",kt,67.50,410000,6074,1929,7/7,on,hyvä,E
Vuosaari,"3h, wc, kh, iso...",kt,68.70,182500,2656,1964,1/5,ei,hyvä,
Malminkartano,"3h,k,s",kt,72.00,168000,2333,1987,3/3,ei,tyyd.,F
Etu-töölö,"3 h, k, kph, vh...",kt,102.20,740000,7241,1912,3/5,on,hyvä,F2007
Lauttasaari,"3h, halli, k ja...",kt,72.00,325000,4514,1940,3/5,on,tyyd.,G
Viikki,"3 h, avokeittiö...",kt,75.00,302000,4027,2004,3/6,on,hyvä,C
